Artamus leucorynchus_Leasolet bělobřichý
Artamus maximus_Leasolet horský
Artamus personatus_Leasolet škraboškový
Artamus superciliosus_Leasolet bělobrvý
Artemisiospiza belli_Setrnádka pelyňková
Artemisiospiza nevadensis_Sagebrush Sparrow
Artisornis metopias_Kerejčiřík tanzanský
Artisornis moreaui_Kerejčiřík mozambický
Arundinax aedon_rákosník tlustozobý
Arundinicola leucocephala_Teyranovec bělohlavý
Asemospiza fuliginosa_Keubánka černá
Asemospiza obscura_Keubánka andská
Asio clamator_kalous proužkovaný
Asio flammeus_kalous pustovka
Asio grammicus_kalous jamajský
Asio otus_kalous ušatý
Asio stygius_kalous americký
Aspatha gularis_momot modrohrdlý
Asthenes anthoides_Hernčiřík linduškovitý
Asthenes arequipae_Hernčiřík tmavokřídlý
Asthenes baeri_Hernčiřík Baerův
Asthenes coryi_Oestrochvostka okrovobrvá
Asthenes dorbignyi_Hernčiřík d´Orbignyův
Asthenes flammulata_Hernčiřík paramový
Asthenes fuliginosa_Oestrochvostka bělobradá
Asthenes griseomurina_Oestrochvostka myší
Asthenes harterti_Oestrochvostka černohrdlá
Asthenes helleri_Oestrochvostka punská
Asthenes heterura_Hernčiřík lapazský
Asthenes huancavelicae_Hernčiřík bledoocasý
Asthenes hudsoni_Hernčiřík pampový
Asthenes humilis_Streak-throated Canastero
Asthenes maculicauda_Hernčiřík čárkoocasý
Asthenes modesta_Hernčiřík kordillerský
Asthenes moreirae_Oestrochvostka riodejaneirská
Asthenes ottonis_Hernčiřík rezavočelý
Asthenes palpebralis_Oestrochvostka kruhooká
Asthenes perijana_Oestrochvostka perijská
Asthenes pudibunda_Hernčiřík roklinový
Asthenes pyrrholeuca_Hernčiřík ostrozobý
Asthenes sclateri_Hernčiřík punový
Asthenes urubambensis_Hernčiřík velehorský
Asthenes virgata_Hernčiřík juninský
Asthenes wyatti_Hernčiřík andský
Atalotriccus pilaris_Teyránek světleoký
Atelornis crossleyi_kurolec rezavohlavý
Atelornis pittoides_kurolec pitovitý
Athene blewitti_sýček indický
Athene brama_sýček brahmínský
Athene cunicularia_sýček králičí
Athene noctua_sýček obecný
Athene superciliaris_sýček madagaskarský
Atimastillas flavicollis_Beulbul žlutohrdlý
Atlanticus testaceus_Protean Shieldback
Atlapetes albinucha_Setrnádek bělošíjný
Atlapetes albofrenatus_Setrnádek bělovousý
Atlapetes citrinellus_Yellow-striped Brushfinch
Atlapetes crassus_Choco Brushfinch
Atlapetes flaviceps_Setrnádek kolumbijský
Atlapetes fulviceps_Setrnádek žlutovousý
Atlapetes fuscoolivaceus_Setrnádek hnědoolivový
Atlapetes latinuchus_Yellow-breasted Brushfinch
Atlapetes leucopis_Setrnádek obroučkový
Atlapetes leucopterus_Setrnádek běloskvrnný
Atlapetes melanocephalus_Setrnádek černohlavý
Atlapetes melanolaemus_Black-faced Brushfinch
Atlapetes pallidiceps_Setrnádek bledý
Atlapetes pallidinucha_Setrnádek šedotýlý
